PageName,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
AV57,-0.19,0.70,0.89,0.12,0.12,2207.52,0.11,0.29,0,716062,4339161
AV58,-0.22,0.54,0.76,0.16,0.11,2760.03,0.16,0.30,0,716067,4339161
AV59,-0.23,0.52,0.76,0.13,0.10,2363.08,0.14,0.26,0,716072,4339161
AV60,-0.24,0.57,0.81,0.15,0.10,2702.21,0.15,0.28,1,716077,4339161
AV61,-0.13,0.60,0.72,0.25,0.09,4423.57,0.25,0.36,1,716082,4339161
AV62,-0.21,0.84,1.05,0.26,0.14,4564.64,0.25,0.43,1,716087,4339161
AW47,-0.23,0.57,0.80,0.23,0.09,4052.50,0.23,0.34,0,716012,4339156
AW48,-0.23,0.49,0.72,0.20,0.08,3570.82,0.21,0.31,0,716017,4339156
AW49,-0.29,0.59,0.88,0.17,0.10,2956.21,0.17,0.29,0,716022,4339156
AW50,-0.19,0.55,0.74,0.20,0.08,3524.44,0.20,0.31,0,716027,4339156
AW51,-0.27,0.64,0.91,0.15,0.13,2691.86,0.15,0.32,0,716032,4339156
AW52,-0.38,0.68,1.07,0.11,0.13,2010.42,0.10,0.30,0,716037,4339156
AW53,-0.22,0.62,0.84,0.22,0.08,3907.60,0.23,0.32,0,716042,4339156
AW54,-0.12,0.78,0.90,0.28,0.12,5011.60,0.28,0.43,0,716047,4339156
AW55,-0.28,0.60,0.88,0.18,0.11,3106.42,0.17,0.32,0,716052,4339156
AW56,-0.21,0.69,0.90,0.17,0.11,3096.13,0.17,0.33,0,716057,4339156
AW57,-0.20,0.88,1.08,0.20,0.13,3600.50,0.21,0.37,0,716062,4339156
AW58,-0.18,0.52,0.70,0.18,0.09,3254.19,0.19,0.30,1,716067,4339156
AW59,-0.16,0.48,0.64,0.20,0.08,3496.36,0.20,0.29,0,716072,4339156
AW61,-0.30,0.60,0.90,0.24,0.10,4347.01,0.25,0.37,1,716082,4339156
AW62,-0.16,0.58,0.74,0.24,0.09,4254.94,0.24,0.35,1,716087,4339156
AW63,-0.35,1.00,1.35,0.28,0.13,4952.03,0.27,0.44,1,716092,4339156
AX47,-0.50,0.60,1.10,0.24,0.11,4260.27,0.24,0.37,0,716012,4339151
AX48,-0.32,0.63,0.95,0.22,0.11,3952.98,0.23,0.36,0,716017,4339151
AX49,-0.39,0.58,0.97,0.19,0.11,3298.41,0.19,0.32,0,716022,4339151
AX50,-0.22,0.79,1.01,0.24,0.09,4174.52,0.23,0.35,0,716027,4339151
AX51,-0.15,0.65,0.80,0.23,0.08,4054.37,0.22,0.33,0,716032,4339151
AX52,-0.15,0.62,0.77,0.26,0.09,4554.47,0.26,0.37,0,716037,4339151
AX53,-0.03,0.52,0.55,0.27,0.07,4846.49,0.28,0.36,0,716042,4339151
AX54,-0.11,0.71,0.82,0.24,0.09,4185.47,0.24,0.35,0,716047,4339151
AX55,-0.20,0.79,1.00,0.21,0.12,3751.04,0.21,0.37,0,716052,4339151
AX56,-0.19,0.64,0.83,0.18,0.11,3172.39,0.18,0.32,0,716057,4339151
AX57,-0.13,0.91,1.05,0.23,0.10,4139.34,0.23,0.35,1,716062,4339151
AX58,-0.20,0.61,0.81,0.09,0.10,1675.47,0.09,0.23,1,716067,4339151
AX59,-0.24,0.46,0.70,0.10,0.09,1829.30,0.10,0.22,1,716072,4339151
AX61,-0.27,0.54,0.81,0.22,0.09,3883.91,0.22,0.33,1,716082,4339151
AX62,-0.08,0.56,0.63,0.27,0.08,4710.19,0.27,0.37,1,716087,4339151
AX63,-0.17,0.72,0.90,0.27,0.10,4795.55,0.27,0.39,1,716092,4339151
AX64,-0.09,0.66,0.75,0.27,0.09,4735.37,0.27,0.39,1,716097,4339151
AY47,-0.43,0.99,1.42,0.22,0.15,3905.97,0.22,0.41,0,716012,4339146
AY48,-0.44,0.85,1.28,0.24,0.13,4163.67,0.24,0.39,0,716017,4339146
AY49,-0.48,0.67,1.15,0.20,0.13,3572.93,0.21,0.36,0,716022,4339146
AY50,-0.35,0.73,1.08,0.26,0.12,4564.71,0.26,0.40,0,716027,4339146
AY51,-0.29,0.65,0.94,0.24,0.10,4322.60,0.24,0.37,0,716032,4339146
AY52,-0.19,0.66,0.85,0.26,0.09,4613.69,0.26,0.38,0,716037,4339146
AY53,-0.28,0.59,0.87,0.24,0.09,4216.37,0.24,0.35,0,716042,4339146
AY54,-0.11,0.63,0.73,0.24,0.08,4316.03,0.24,0.35,0,716047,4339146
AY55,-0.18,0.58,0.76,0.20,0.08,3532.43,0.20,0.30,0,716052,4339146
AY56,-0.18,0.50,0.67,0.18,0.08,3222.17,0.18,0.29,0,716057,4339146
AY57,-0.13,0.65,0.78,0.21,0.10,3774.77,0.21,0.33,1,716062,4339146
AY58,-0.25,0.68,0.93,0.14,0.10,2399.63,0.13,0.27,1,716067,4339146
AY59,-0.30,0.73,1.04,0.12,0.11,2100.30,0.11,0.25,1,716072,4339146
AY60,-0.18,0.64,0.82,0.19,0.10,3435.25,0.20,0.31,1,716077,4339146
AY61,-0.18,0.58,0.77,0.16,0.10,2870.11,0.16,0.29,1,716082,4339146
AY62,-0.08,0.63,0.70,0.23,0.09,4025.93,0.23,0.34,1,716087,4339146
AY63,-0.17,0.59,0.76,0.21,0.08,3671.43,0.21,0.32,1,716092,4339146
AY64,-0.12,0.72,0.84,0.27,0.09,4690.15,0.26,0.38,1,716097,4339146
AY65,-0.04,0.81,0.85,0.37,0.11,6543.48,0.37,0.52,1,716102,4339146
AZ47,-0.38,1.00,1.38,0.14,0.13,2584.98,0.13,0.32,0,716012,4339141
AZ48,-0.37,1.00,1.37,0.22,0.14,3905.87,0.22,0.40,0,716017,4339141
AZ49,-0.40,0.58,0.98,0.17,0.12,3056.64,0.17,0.32,0,716022,4339141
AZ50,-0.28,0.63,0.91,0.21,0.10,3779.28,0.22,0.33,0,716027,4339141
AZ51,-0.19,0.87,1.06,0.28,0.10,4971.87,0.27,0.40,0,716032,4339141
AZ52,-0.06,0.60,0.67,0.26,0.08,4632.19,0.26,0.36,0,716037,4339141
AZ53,-0.06,0.56,0.62,0.26,0.07,4672.99,0.26,0.35,0,716042,4339141
AZ54,-0.03,0.59,0.62,0.25,0.08,4495.11,0.25,0.36,0,716047,4339141
AZ55,-0.18,0.50,0.69,0.22,0.06,3966.59,0.22,0.30,0,716052,4339141
AZ56,-0.10,0.72,0.83,0.18,0.08,3263.61,0.18,0.28,1,716057,4339141
AZ57,-0.15,0.62,0.78,0.19,0.09,3447.83,0.19,0.31,1,716062,4339141
AZ58,-0.23,0.52,0.75,0.11,0.10,1950.34,0.11,0.24,1,716067,4339141
AZ59,-0.38,0.78,1.17,0.14,0.12,2520.76,0.13,0.30,1,716072,4339141
AZ60,-0.33,0.95,1.28,0.20,0.11,3611.60,0.20,0.33,1,716077,4339141
AZ61,-0.19,0.48,0.67,0.14,0.09,2537.47,0.14,0.25,1,716082,4339141
AZ62,-0.25,0.57,0.82,0.19,0.08,3423.74,0.19,0.30,1,716087,4339141
AZ63,-0.18,0.64,0.81,0.24,0.10,4365.07,0.24,0.37,1,716092,4339141
AZ64,-0.11,0.61,0.72,0.25,0.09,4373.78,0.25,0.36,1,716097,4339141
AZ65,-0.14,0.70,0.84,0.27,0.09,4722.89,0.27,0.38,1,716102,4339141
BA47,-0.17,1.00,1.17,0.28,0.12,5039.70,0.27,0.44,0,716012,4339136
BA48,-0.25,0.75,0.99,0.24,0.13,4239.14,0.25,0.39,0,716017,4339136
BA49,-0.32,0.72,1.04,0.29,0.11,5083.66,0.29,0.42,0,716022,4339136
BA50,-0.34,0.66,0.99,0.25,0.11,4455.54,0.26,0.39,0,716027,4339136
BA51,-0.18,0.55,0.73,0.23,0.08,4016.72,0.22,0.33,0,716032,4339136
BA52,-0.30,0.70,1.00,0.24,0.10,4199.15,0.24,0.36,0,716037,4339136
BA53,-0.07,0.55,0.62,0.25,0.08,4503.31,0.26,0.36,0,716042,4339136
BA54,-0.12,0.41,0.52,0.18,0.06,3197.88,0.18,0.25,0,716047,4339136
BA55,-0.18,0.70,0.88,0.18,0.09,3178.18,0.18,0.28,0,716052,4339136
BA56,-0.15,0.86,1.01,0.18,0.11,3136.04,0.17,0.31,0,716057,4339136
BA57,-0.09,0.76,0.85,0.22,0.08,3812.50,0.21,0.32,1,716062,4339136
BA61,-0.17,1.00,1.17,0.19,0.11,3372.01,0.18,0.33,1,716082,4339136
BA62,-0.11,0.64,0.75,0.16,0.09,2889.44,0.16,0.28,1,716087,4339136
BA63,-0.21,0.59,0.80,0.16,0.10,2846.45,0.16,0.29,1,716092,4339136
BA64,-0.19,1.00,1.19,0.18,0.14,3256.43,0.17,0.36,1,716097,4339136
BA65,-0.09,0.57,0.66,0.21,0.08,3705.84,0.21,0.31,1,716102,4339136
BA66,-0.08,0.87,0.95,0.29,0.12,5147.04,0.28,0.44,1,716107,4339136
BA67,-0.01,1.00,1.01,0.42,0.16,7485.80,0.41,0.62,1,716112,4339136
BA68,-0.27,1.00,1.27,0.30,0.21,5264.18,0.28,0.57,1,716117,4339136
BA69,-0.22,1.00,1.22,0.30,0.16,5388.51,0.29,0.51,1,716122,4339136
BB47,-0.06,1.00,1.06,0.29,0.16,5090.37,0.25,0.45,0,716012,4339131
BB48,-0.25,0.72,0.97,0.24,0.12,4277.02,0.23,0.40,0,716017,4339131
BB49,-0.17,0.86,1.03,0.30,0.09,5380.81,0.32,0.40,0,716022,4339131
BB50,-0.25,0.79,1.03,0.21,0.10,3651.48,0.20,0.34,0,716027,4339131
BB51,-0.10,0.73,0.83,0.25,0.10,4402.61,0.24,0.37,0,716032,4339131
BB52,-0.20,0.69,0.89,0.21,0.12,3661.76,0.21,0.36,0,716037,4339131
BB53,-0.23,0.59,0.82,0.17,0.08,2971.86,0.17,0.26,0,716042,4339131
BB54,-0.20,0.56,0.76,0.18,0.08,3127.15,0.18,0.28,0,716047,4339131
BB55,-0.15,0.69,0.83,0.19,0.10,3392.37,0.19,0.32,1,716052,4339131
BB56,-0.17,0.80,0.97,0.19,0.10,3320.83,0.18,0.31,0,716057,4339131
BB62,-0.29,1.00,1.29,0.27,0.14,4724.50,0.26,0.45,1,716087,4339131
BB63,-0.25,1.00,1.25,0.17,0.14,3065.35,0.16,0.36,1,716092,4339131
BB64,-0.22,0.85,1.07,0.21,0.13,3745.67,0.21,0.38,1,716097,4339131
BB65,-0.15,0.50,0.66,0.19,0.09,3282.51,0.18,0.30,1,716102,4339131
BB66,-0.21,0.80,1.01,0.27,0.14,4854.53,0.27,0.45,1,716107,4339131
BB67,-0.23,1.00,1.23,0.43,0.18,7676.85,0.42,0.67,1,716112,4339131
BB70,-0.31,1.00,1.31,0.48,0.21,8583.88,0.45,0.77,1,716127,4339131
BC47,-0.25,1.00,1.25,0.25,0.17,4500.02,0.22,0.41,0,716012,4339126
BC48,-0.24,1.00,1.24,0.16,0.13,2754.31,0.14,0.31,0,716017,4339126
BC49,-0.10,0.70,0.80,0.29,0.09,5151.80,0.29,0.40,0,716022,4339126
BC50,-0.13,0.77,0.89,0.20,0.09,3528.48,0.20,0.32,0,716027,4339126
BC51,-0.18,1.00,1.18,0.26,0.12,4643.33,0.25,0.41,0,716032,4339126
BC52,-0.14,0.60,0.73,0.14,0.08,2461.51,0.13,0.24,0,716037,4339126
BC53,-0.11,0.46,0.57,0.16,0.08,2807.77,0.16,0.25,0,716042,4339126
BC54,-0.22,0.55,0.76,0.14,0.09,2494.02,0.14,0.25,0,716047,4339126
BC55,-0.30,0.62,0.93,0.17,0.09,2986.11,0.17,0.28,1,716052,4339126
BC63,-0.31,1.00,1.31,0.23,0.15,4153.19,0.22,0.43,1,716092,4339126
BC64,-0.28,0.79,1.07,0.25,0.13,4360.63,0.24,0.41,1,716097,4339126
BC65,-0.34,0.68,1.02,0.22,0.11,3937.29,0.22,0.37,1,716102,4339126
BC66,-0.21,1.00,1.21,0.29,0.13,5186.69,0.29,0.46,1,716107,4339126
BC67,-0.31,1.00,1.31,0.38,0.17,6647.07,0.37,0.57,1,716112,4339126
BD47,-0.69,1.00,1.69,0.19,0.15,3337.59,0.16,0.34,0,716012,4339121
BD48,-0.54,1.00,1.54,0.09,0.12,1646.71,0.09,0.23,0,716017,4339121
BD49,-0.28,0.83,1.11,0.24,0.11,4217.25,0.24,0.37,0,716022,4339121
BD50,-0.08,0.55,0.63,0.24,0.07,4245.15,0.24,0.32,0,716027,4339121
BD51,-0.14,0.77,0.91,0.23,0.10,4094.95,0.23,0.35,0,716032,4339121
BD52,-0.20,0.49,0.70,0.12,0.08,2079.66,0.11,0.21,0,716037,4339121
BD53,-0.11,0.56,0.67,0.14,0.07,2471.56,0.14,0.23,0,716042,4339121
BD54,-0.15,0.54,0.70,0.17,0.09,3063.69,0.17,0.28,0,716047,4339121
BD64,-0.46,1.00,1.46,0.24,0.17,4201.89,0.23,0.46,1,716097,4339121
BD65,-0.26,1.00,1.26,0.26,0.16,4635.09,0.26,0.46,1,716102,4339121
BD66,-0.32,1.00,1.32,0.31,0.18,5507.07,0.29,0.54,1,716107,4339121
BD67,-0.22,1.00,1.22,0.38,0.20,6690.01,0.37,0.62,1,716112,4339121
BE47,-0.52,1.00,1.52,0.12,0.19,2235.00,0.09,0.31,0,716012,4339116
BE48,-0.68,1.00,1.68,0.08,0.18,1356.87,0.05,0.29,0,716017,4339116
BE49,-0.50,0.91,1.40,0.17,0.13,2992.86,0.17,0.33,0,716022,4339116
BE50,-0.17,0.69,0.86,0.26,0.09,4620.27,0.26,0.37,0,716027,4339116
BE51,-0.10,0.49,0.58,0.23,0.08,4163.38,0.24,0.33,0,716032,4339116
BE52,-0.19,0.76,0.94,0.20,0.10,3586.38,0.20,0.33,0,716037,4339116
BE53,-0.21,0.74,0.95,0.13,0.10,2381.92,0.13,0.26,0,716042,4339116
BE54,-0.19,0.55,0.74,0.11,0.08,1896.64,0.10,0.20,0,716047,4339116
BE65,-0.46,1.00,1.46,0.21,0.18,3689.60,0.19,0.43,1,716102,4339116
BE66,-0.51,1.00,1.51,0.16,0.16,2840.78,0.15,0.37,1,716107,4339116
BE67,-0.53,1.00,1.53,0.17,0.18,3113.32,0.17,0.40,1,716112,4339116
BF48,-0.61,1.00,1.61,0.34,0.30,5950.58,0.27,0.96,0,716017,4339111
BF49,-0.48,0.98,1.46,0.20,0.14,3572.47,0.20,0.37,0,716022,4339111
BF50,-0.11,0.70,0.81,0.20,0.09,3517.49,0.19,0.32,0,716027,4339111
BF51,-0.03,0.57,0.60,0.22,0.06,3882.35,0.22,0.29,0,716032,4339111
BF52,-0.07,0.59,0.66,0.18,0.06,3239.99,0.18,0.25,0,716037,4339111
BF53,-0.19,0.48,0.67,0.10,0.09,1855.87,0.10,0.22,0,716042,4339111
BF54,-0.17,0.43,0.60,0.11,0.09,1863.61,0.10,0.23,0,716047,4339111
BF66,-0.61,1.00,1.61,0.09,0.16,1642.54,0.08,0.29,1,716107,4339111
BG49,-0.26,1.00,1.26,0.32,0.18,5630.78,0.28,0.53,0,716022,4339106
BG50,-0.16,0.68,0.85,0.20,0.10,3462.24,0.19,0.33,0,716027,4339106
BG51,-0.12,0.41,0.52,0.17,0.07,3021.80,0.17,0.25,0,716032,4339106
BG52,-0.21,0.42,0.62,0.10,0.07,1850.29,0.11,0.18,0,716037,4339106
BG53,-0.26,0.48,0.74,0.07,0.09,1246.55,0.07,0.18,0,716042,4339106
BG54,-0.22,0.39,0.61,0.09,0.08,1514.04,0.08,0.19,0,716047,4339106
BG55,-0.15,0.49,0.64,0.16,0.08,2764.55,0.16,0.25,0,716052,4339106
BH50,-0.24,0.94,1.18,0.24,0.11,4275.71,0.24,0.39,0,716027,4339101
BH51,-0.33,0.82,1.15,0.10,0.11,1840.44,0.10,0.23,0,716032,4339101
BH52,-0.29,1.00,1.29,0.09,0.12,1574.11,0.08,0.24,0,716037,4339101
BH53,-0.22,0.38,0.59,0.07,0.07,1182.90,0.07,0.16,0,716042,4339101
BH54,-0.20,0.61,0.81,0.09,0.09,1655.78,0.09,0.21,0,716047,4339101
BH55,-0.25,0.56,0.81,0.14,0.09,2452.00,0.14,0.26,0,716052,4339101
BI51,-0.54,1.00,1.54,0.15,0.16,2596.20,0.14,0.34,0,716032,4339096
BI52,-0.30,0.52,0.82,0.02,0.12,386.24,0.02,0.17,0,716037,4339096
BI53,-0.33,0.52,0.86,0.00,0.08,73.62,0.00,0.10,0,716042,4339096
BI54,-0.22,0.45,0.67,0.07,0.07,1208.46,0.07,0.15,0,716047,4339096
BI55,-0.22,0.48,0.69,0.08,0.08,1399.58,0.08,0.19,0,716052,4339096
BI56,-0.16,0.44,0.59,0.15,0.08,2627.26,0.15,0.24,0,716057,4339096
BJ52,-0.31,0.54,0.85,0.02,0.10,437.59,0.02,0.15,0,716037,4339091
BJ53,-0.37,0.69,1.06,0.02,0.10,279.74,0.01,0.13,0,716042,4339091
BJ54,-0.31,0.40,0.71,0.00,0.08,74.03,0.00,0.11,0,716047,4339091
BJ55,-0.30,0.32,0.63,0.02,0.08,366.31,0.02,0.12,0,716052,4339091
BJ56,-0.48,0.43,0.90,0.06,0.07,1160.72,0.07,0.16,0,716057,4339091
BJ57,-0.21,0.49,0.70,0.10,0.09,1758.00,0.10,0.21,0,716062,4339091
BK52,-0.34,0.67,1.01,0.07,0.12,1322.15,0.07,0.22,0,716037,4339086
BK53,-0.46,0.76,1.22,0.00,0.12,-67.50,-0.01,0.15,0,716042,4339086
BK54,-0.35,0.34,0.69,-0.04,0.09,-647.31,-0.03,0.07,0,716047,4339086
BK55,-0.48,0.35,0.83,-0.06,0.10,-1123.76,-0.07,0.07,0,716052,4339086
BK56,-0.28,0.31,0.60,0.04,0.08,710.75,0.04,0.14,0,716057,4339086
BK57,-0.25,0.32,0.58,0.06,0.07,983.91,0.06,0.14,0,716062,4339086
BK58,-0.32,0.42,0.74,0.10,0.09,1732.13,0.10,0.21,0,716067,4339086
BK59,-0.32,0.53,0.85,0.13,0.09,2352.78,0.13,0.25,0,716072,4339086
BK60,-0.23,0.59,0.82,0.13,0.09,2334.12,0.13,0.25,0,716077,4339086
BK61,-0.17,0.56,0.73,0.11,0.06,1941.75,0.11,0.19,0,716082,4339086
BK62,-0.30,0.50,0.80,0.08,0.10,1386.17,0.07,0.20,0,716087,4339086
BK63,-0.44,0.85,1.30,0.14,0.16,2509.59,0.13,0.35,0,716092,4339086
BL53,-0.47,0.96,1.43,0.01,0.12,239.11,0.02,0.15,0,716042,4339081
BL54,-0.42,0.41,0.82,-0.07,0.09,-1313.53,-0.08,0.04,0,716047,4339081
BL55,-0.38,0.36,0.74,-0.07,0.08,-1170.22,-0.07,0.04,0,716052,4339081
BL56,-0.36,0.38,0.75,-0.04,0.08,-780.29,-0.04,0.06,0,716057,4339081
BL57,-0.27,0.25,0.52,0.00,0.07,27.35,0.00,0.09,0,716062,4339081
BL58,-0.23,0.35,0.59,0.04,0.07,702.88,0.04,0.13,0,716067,4339081
BL59,-0.20,0.46,0.66,0.10,0.08,1783.71,0.10,0.21,0,716072,4339081
BL60,-0.16,0.90,1.06,0.09,0.10,1618.61,0.08,0.21,0,716077,4339081
BL61,-0.21,0.66,0.88,0.08,0.09,1451.83,0.07,0.19,0,716082,4339081
BL62,-0.24,0.35,0.59,0.07,0.07,1209.79,0.07,0.16,0,716087,4339081
BL63,-0.28,1.00,1.28,0.11,0.11,1870.73,0.09,0.26,0,716092,4339081
BL76,-0.43,1.00,1.43,0.21,0.24,3729.39,0.17,0.55,0,716157,4339081
BM54,-0.49,0.63,1.12,-0.14,0.10,-2391.85,-0.14,0.00,0,716047,4339076
BM55,-0.50,0.60,1.10,-0.15,0.10,-2581.38,-0.15,-0.01,0,716052,4339076
BM56,-0.38,0.45,0.82,-0.02,0.10,-365.25,-0.02,0.10,0,716057,4339076
BM57,-0.31,0.32,0.64,-0.02,0.08,-284.31,-0.02,0.08,0,716062,4339076
BM58,-0.19,0.40,0.59,0.03,0.07,512.08,0.02,0.12,0,716067,4339076
BM59,-0.21,0.39,0.60,0.05,0.07,833.42,0.04,0.13,0,716072,4339076
BM60,-0.29,0.34,0.63,0.06,0.07,1077.28,0.06,0.16,0,716077,4339076
BM61,-0.25,0.47,0.72,0.10,0.09,1749.04,0.10,0.21,0,716082,4339076
BM62,-0.24,0.48,0.73,0.08,0.08,1421.68,0.08,0.17,0,716087,4339076
BM63,-0.20,0.52,0.72,0.09,0.08,1652.07,0.09,0.19,0,716092,4339076
BM74,-0.39,1.00,1.39,0.19,0.17,3385.90,0.18,0.41,0,716147,4339076
BM75,-0.30,1.00,1.30,0.15,0.15,2609.38,0.13,0.35,0,716152,4339076
BM76,-0.33,0.87,1.20,0.10,0.14,1758.93,0.08,0.28,0,716157,4339076
BN54,-0.53,1.00,1.53,-0.03,0.17,-613.63,-0.07,0.13,0,716047,4339071
BN55,-0.57,0.51,1.08,-0.16,0.11,-2940.14,-0.17,-0.03,0,716052,4339071
BN56,-0.40,0.64,1.04,-0.06,0.13,-1112.24,-0.07,0.11,0,716057,4339071
BN57,-0.22,0.46,0.67,0.05,0.08,836.63,0.04,0.15,0,716062,4339071
BN58,-0.26,0.40,0.67,0.05,0.08,875.79,0.05,0.15,0,716067,4339071
BN59,-0.18,0.27,0.45,0.04,0.06,769.66,0.04,0.12,0,716072,4339071
BN60,-0.24,0.37,0.60,0.05,0.07,874.27,0.05,0.14,0,716077,4339071
BN61,-0.25,0.57,0.82,0.08,0.09,1450.89,0.08,0.19,0,716082,4339071
BN62,-0.31,0.70,1.01,0.10,0.11,1708.54,0.09,0.24,0,716087,4339071
BN63,-0.19,0.93,1.12,0.12,0.08,2073.26,0.11,0.22,0,716092,4339071
